key	text	tooltip
#Loc;1;text/aaa_missing_locs.loc		
regions_onscreen_wh3_main_combi_region_temple_of_skulls	颅骨神庙	false
regions_battle_name_wh3_main_combi_region_temple_of_skulls	颅骨神庙	false
regions_onscreen_wh3_main_combi_region_mordheim	莫德海姆	false
regions_battle_name_wh3_main_combi_region_mordheim	莫德海姆	false
regions_onscreen_wh3_main_combi_region_skrap_towers	废料塔	false
regions_battle_name_wh3_main_combi_region_skrap_towers	废料塔	false
regions_onscreen_wh3_main_combi_region_black_crag	黑岩堡	false
regions_battle_name_wh3_main_combi_region_black_crag	黑岩堡	false
regions_onscreen_wh3_main_combi_region_karak_eight_peaks	八峰山	false
regions_battle_name_wh3_main_combi_region_karak_eight_peaks	八峰山	false
