key	text	tooltip
#Loc;1;text/db/!lost_places.loc		
provinces_onscreen_wh3_main_combi_province_death_pass	疯狗关	false
provinces_onscreen_wh3_main_combi_province_eastern_badlands	死亡关	false
provinces_onscreen_wh3_main_combi_province_southern_badlands	次元石碎片平原	false
provinces_onscreen_wh3_main_combi_province_western_badlands	龙背山脉	false
provinces_onscreen_wh3_main_combi_province_northern_worlds_edge_mountains	北世界边缘山脉	false
provinces_onscreen_wh3_main_combi_province_southern_worlds_edge_mountains	火山	false
provinces_onscreen_wh3_main_combi_province_southlands_worlds_edge_mountains	南世界边缘山脉	false
provinces_onscreen_wh3_main_combi_province_eastern_border_princes	边境亲王领	false
provinces_onscreen_wh3_main_combi_province_western_border_princes	泪水湖	false
building_culture_variants_name_wh3_dlc23_special_anurells_tomb_chd	阿努雷尔方尖碑	false
building_culture_variants_name_wh3_dlc23_special_anurells_tomb_hef	阿努雷尔方尖碑	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_sunken_khernarch1793106182	赫纳赫沉没废墟	false
regions_battle_name_wh3_main_combi_region_sunken_khernarch	赫纳赫沉没废墟	false
regions_onscreen_wh3_main_combi_region_sunken_khernarch	赫纳赫沉没废墟	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_ekrund894375988	血角山	false
regions_battle_name_wh3_main_combi_region_ekrund	血角山	false
regions_onscreen_wh3_main_combi_region_ekrund	血角山	false
regions_battle_name_wh3_main_combi_region_aarnau	慰藉堡	false
regions_onscreen_wh3_main_combi_region_aarnau	慰藉堡	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_aarnau1326698762	慰藉堡	false
regions_battle_name_wh3_main_combi_region_karag_orrud	红云山	false
regions_onscreen_wh3_main_combi_region_karag_orrud	红云山	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_karag_orrud1019500774	红云山	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_eschen577284112	范哈登城堡废墟	false
regions_battle_name_wh3_main_combi_region_eschen	范哈登城堡废墟	false
regions_onscreen_wh3_main_combi_region_eschen	范哈登城堡废墟	false
start_pos_settlements_onscreen_name_settlement:wh3_main_combi_region_krugenheim310770183	死木林	false
regions_battle_name_wh3_main_combi_region_krugenheim	死木林	false
regions_onscreen_wh3_main_combi_region_krugenheim	死木林	false
