key	text	tooltip
#Loc;1;text/db/!sr_lost_lore.loc		
resources_onscreen_text_wh2_dlc09_special_bhagar_secondary	[[col:yellow]]巴加尔 - 永恒死城[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产宝石[[/col]]	false
resources_onscreen_text_wh2_dlc09_special_black_tower_of_arkhan_secondary	[[col:yellow]]阿克汉黑塔[[/col]]	false
resources_onscreen_text_wh2_dlc09_special_ka_sabar_secondary	[[col:yellow]]卡-萨巴尔 - 哀伤神殿[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区拥有牧场[[/col]]	false
resources_onscreen_text_wh2_dlc09_special_numas_secondary	[[col:yellow]]努玛斯 - 圣甲虫之城[[/col]]	false
resources_onscreen_text_wh2_dlc09_special_quatar_secondary	[[col:yellow]]夸塔尔 - 尸骸宫殿[[/col]]	false
resources_onscreen_text_wh2_dlc09_special_zandri_secondary	[[col:yellow]]赞德里 - 恐怖舰队港[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产陶器[[/col]]	false
resources_onscreen_text_wh2_dlc10_special_gaean_vale_secondary	[[col:yellow]]盖安谷地[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产异域动物[[/col]]	false
resources_onscreen_text_wh2_dlc14_special_fyrus_secondary	[[col:yellow]]菲鲁斯[[/col]]	false
resources_onscreen_text_wh2_dlc14_special_gnoblar_country_pigbarter_secondary	[[col:yellow]]猪市镇[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产香料[[/col]]	false
resources_onscreen_text_wh2_dlc14_special_the_broken_teeth_nagashizar_secondary	[[col:yellow]]纳迦什扎尔 - 诅咒深坑[[/col]]	false
resources_onscreen_text_wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary	[[col:yellow]]驼背山[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产铁矿[[/col]]	false
resources_onscreen_text_wh2_dlc15_special_grom_peak_secondary	[[col:yellow]]格罗姆峰[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区拥有牧场[[/col]]	false
resources_onscreen_text_wh2_dlc15_special_morgheim_secondary	[[col:yellow]]莫格海姆 - 死亡之城[[/col]]	false
resources_onscreen_text_wh2_dlc15_special_mount_arachnos_secondary	[[col:yellow]]阿拉克诺斯山[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区出产异域动物[[/col]]	false
resources_onscreen_text_wh2_dlc16_forest_of_gloom_secondary	[[col:yellow]]幽暗森林[[/col]]	false
