key	text	tooltip
#Loc;1;text/db/lost_places_effects__.loc		
effects_description_cockatrice_recruit_rank	蛇鸡兽部队招募等级：%+n	false
effects_description_cockatrice_physical_resist	蛇鸡兽部队物理抗性：%n%	false
effects_description_cockatrice_recruit_cost	蛇鸡兽部队招募成本：%+n%	false
effects_description_inq_melee_attack_vs_grn_vmp	对抗绿皮与吸血鬼伯爵时近战攻击：%+n	false
effects_description_inq_melee_attack_vs_emp_vmp	对抗吸血鬼伯爵与帝国时近战攻击：%+n	false
effects_description_inq_melee_attack_vs_grn_emp	对抗绿皮与帝国时近战攻击：%+n	false
effects_description_frenzy_manticore	蝎尾狮部队被动技能：“狂暴”	false
effects_description_inq_unit_cap_bst_manticore	单位容量：%+n\\n蝎尾狮	false
effects_description_inq_charge_monsters	怪兽部队冲锋加成：%+n	false
effects_description_inq_speed_monsters	怪兽部队速度：%+n%	false
effects_description_corroded_armour_contact_monsters	所有怪兽部队启用腐蚀攻击	false
effects_description_frenzy_khorne_mark	拥有恐虐印记的单位获得被动技能：“狂暴”	false
effects_description_recruit_cost_mark_of_khorne	拥有恐虐印记的单位招募成本：%+n%	false
effects_description_item_steal_chance_in_allied_own_terf	在盟友或己方领土战斗后偷取魔法物品的概率：%+n%	false
effects_description_inq_armour_piercing_vs_dwf	对抗矮人时破甲武器伤害：%+n	false
effects_description_inq_leadership_vs_dwf	对抗矮人时领导力：%+n	false
effects_description_inq_melee_attack_vs_grn	对抗绿皮时近战攻击：%+n	false
effects_description_inq_leadership_vs_grn	对抗绿皮时领导力：%+n	false
effects_description_rampage_enemy_dwf	矮人获得属性：“暴走”	false
effects_description_immune_to_psych_grn	所有单位获得属性：心理免疫	false
effects_description_immune_to_psych_dwf	所有单位获得属性：心理免疫	false
effects_description_rampage_enemy_grn	绿皮获得属性：“暴走”	false
effects_description_inq_recruitment_xp_wizard	巫师英雄招募等级：%+n	false
effects_description_physical_resist_all_manticores	蝎尾狮物理抗性：%+n%	false
effects_description_grn_stalk_underway	地道战时获得属性：“潜行”	false
effects_description_inq_enable_necrotect_recruit	解锁[[img:icon_hero]][[/img]]英雄招募：古墓技师	false
effects_description_inq_lahmian_recruit_rank	莱弥亚吸血鬼领主招募等级：%+n	false
effects_description_inq_spell_mastery_wizards	所有巫师英雄获得属性：精通元素之风	false
effects_description_inq_leadership_vs_cathay	对抗震旦时领导力：%+n	false
effects_description_inq_melee_attack_vs_cathay	对抗震旦时近战攻击：%+n	false
