key	text	tooltip
#Loc;1;text/db/lost_places_landmark_building_culture_variants__.loc		
building_culture_variants_name_cockatrice_roost	鸡蛇兽巢穴	true
building_culture_variants_name_the_blighted_towers	枯萎之塔	true
building_culture_variants_name_darkwood	黑木林	true
building_culture_variants_name_lost_places_the_blight	枯萎地	true
building_culture_variants_name_monolith_of_flesh	血肉方尖碑	true
building_culture_variants_name_blood_fane	鲜血神龛	true
building_culture_variants_name_fozzriks_vault	弗兹里克的宝库	true
building_culture_variants_name_tree_of_beards	胡须之树	true
building_culture_variants_name_tree_of_vengeance	复仇之树	true
building_culture_variants_name_fort_solace	慰藉堡	true
building_culture_variants_name_tow_monolith_of_flesh	血肉方尖碑	true
building_culture_variants_name_tow_blood_fane	鲜血神龛	true
building_culture_variants_name_tow_fozzriks_vault	弗兹里克的宝库	true
building_culture_variants_name_red_cloud_mountain	红云山	true
building_culture_variants_name_valley_of_the_kings	诸王峡谷	true
building_culture_variants_name_sonnental	索南塔尔	true
building_culture_variants_name_leopoldheim	利奥波德海姆	true
building_culture_variants_name_monolith_of_katam	卡坦方尖碑	true
building_culture_variants_name_lost_red_keep	红堡	true
building_culture_variants_name_lost_trading_post	哨兵贸易站	true
building_culture_variants_name_lost_tallyman_church	计数者教堂	true
building_culture_variants_name_lost_blood_leopard_sanctum	血豹内殿	true
building_culture_variants_name_lost_golden_ziggurat_excavation	黄金庙塔挖掘场	true
building_culture_variants_name_lost_golden_colossus_excavation	黄金巨像挖掘场	true
building_culture_variants_name_lost_drifting_city	漂泊之城	true
