key	text	tooltip
#Loc;1;text/db/skh_ind_lore.loc		
resources_onscreen_text_cr_major_secondary_pridvarkar	[[col:yellow]]普里德瓦卡[[/col]]	false
resources_description_cr_major_secondary_pridvarkar	普里德瓦卡坐落于阿沙萨尼高地南部，地处布拉米尔自由城市与神圣萨姆拉吉亚姆的交界处。萨姆拉吉亚姆的神灵与拉者多次侵扰此地，使其成为印地历史上受围攻最频繁的城市之一。凭借守军与来自北方的猴人辅助军的奋战，这座要塞都市从未被轻易攻破，即便被占领，也很快会被其布拉米尔盟友收复。\\n\\n普里德瓦卡因其精锐士兵而幸存，因此其文化核心便是对战士的尊重。但这里并非像北方的考尼邦国或尼朋群岛那样由武夫暴君统治；普里德瓦卡是布拉米尔引以为傲的自由城市，市民极其珍视自由。凡是在普里德瓦卡民兵团服役过的男子均享有城市议会的全面投票权，而投票则是通过清点举起的长剑来完成的。	false
resources_onscreen_text_cr_major_secondary_aranyas_glade	[[col:yellow]]阿兰亚林地[[/col]]	false
resources_description_cr_major_secondary_aranyas_glade	布拉米尔是一位古老的神灵，许多自由城市的建立可追溯至数千年前。然而，直到几个世纪前，暴君斯林卡玛塔血脉中的拉者阿兰亚受到布拉米尔的神启，领悟了自由之美，自由城市的数量才开始增加。阿兰亚率军横跨印地中部，以布拉米尔之名诛杀暴君。阿兰亚林地便以他命名，在伟大的战争结束后，他在此消失于迷雾森林中。\\n\\n阿兰亚林地是布拉米尔信徒的圣地，他们学会了与居住于此的暴躁森林之灵——雅克希共存。雅克希要求居住于此的人类回归绝对的原始主义，抛弃组织化社会与工业的产物。起初这只是为了安抚雅克希，如今已成为阿兰亚林地人民的信仰：若不能彻底摆脱文明的束缚，又何谈极致的自由？\\n\\n不过，其他自由城市的外交官和商人真心希望阿兰亚林地的人能穿上点衣服。	false
resources_onscreen_text_cr_major_secondary_temple_of_gilgadresh	[[col:yellow]]吉尔加德雷什神庙[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区产出铁矿[[/col]]	false
resources_description_cr_major_secondary_temple_of_gilgadresh	吉尔加德雷什是象征文明的象头神，是印地诸国最受欢迎的神灵之一。作为“万赐之神”——掌管奢靡、工艺、贸易与官僚——他那宏伟的神庙拥有无数厅堂，分别对应其神职。你可能在这一间房看到金饰缠身的俊男美女享用甜点，而在下一间房看到严谨的象人书记员在维护图书馆的卷轴。在整个印地，没有哪里比这里能见到更多的加哈拉者——那些随吉尔加德雷什一同升格为半神的象人亲族。\\n\\n神庙的许多厅堂严禁非吉尔加德雷什祭司进入。还有更多房间因修缮而关闭；几年前，圣洁恐惧号的暗黑精灵海盗洗劫了吉尔加德雷什神庙，重建工作进展缓慢。\\n\\n然而，有一间厅堂的封闭有着更黑暗的原因。尽管数千年来吉尔加德雷什的品味变得愈发“文明”，但他仍无法抗拒那道美味：人肉……	false
resources_onscreen_text_cr_major_secondary_rajyapuram	[[col:yellow]]拉杰普拉姆[[/col]]	false
resources_description_cr_major_secondary_rajyapuram	拉杰普拉姆的特色在于其信仰。虽然大神萨玛塔居住在索姆纳吉里，但拉杰普拉姆作为其圣城更受尊崇。这里是他对抗混沌势力的最伟大胜利之地，他在此击溃了遮天蔽日的恶魔军团，并在拉克塔德维河畔诛杀了万变魔君洛克伦提克斯。战后的狂欢持续了十二昼夜，心情愉悦的萨玛塔赐予了拉杰普拉姆人民难以想象的财富。\\n\\n因此，拉杰普拉姆近乎一神论；虽然容忍其他神灵的崇拜，但城内没有他们的神庙或祭坛。城中五座不同的神庙都声称自己建在萨玛塔诛杀洛克伦提克斯的遗址上，且都香火鼎盛。索姆纳吉里流传着一个笑话：拉杰普拉姆人之所以如此热爱萨玛塔，只是因为他们不必亲自招待他那些过于喧闹的派对。	false
resources_onscreen_text_cr_major_secondary_temple_of_brahmir	[[col:yellow]]布拉米尔神庙[[/col]]	false
resources_description_cr_major_secondary_temple_of_brahmir	布拉米尔神庙固然是圣地，但习惯了“造神者”复杂祭祀仪式的访客会发现这里几乎没有熟悉的东西。布拉米尔并非讲求顺从或仪式的神灵，他鄙视暴君以及一切形式的奴役。信徒随心而来，随性而去，全靠他们的慷慨才维持了神庙的运作与祭司的生计，因为布拉米尔不要求任何祭品。\\n\\n神庙四周环绕着小村镇，每个村镇都是独立的共和国，在需要集体决策时会派出代表（选举或抽签产生）前往神庙集会。被选中获得此项殊荣是一把双刃剑，因为布拉米尔最狂热的信徒热衷于公开处决那些表现出专制倾向的人。在“红衣”伊拉的勤勉领导下，近年来布拉米尔神庙已不再那么血腥，但在过去，鲜血流下神庙台阶的情况几乎每周都会发生。	false
resources_onscreen_text_cr_major_secondary_himaranya	[[col:yellow]]希马兰亚[[/col]]	false
resources_description_cr_major_secondary_himaranya	希马拉尼亚山是天山山脉的最高峰，耸立在山脚巨大的头骨之后。印地人称该头骨为“乌帕德拉雅卡”，但即便最博学的印地学者也对其起源知之甚少。乌帕德拉雅卡的额头有一道巨大的裂缝，流出其颅内似乎无穷无尽的液体；这便是拉克塔德维河的源头，即伟大的蛇形女神之河的尾尖。千神诞生于她的河水：正如造神者所知并严守的秘密，饮用拉克塔德维河水的人，其信仰会逐渐影响现实，如河流磨损岩石般无情而耐心地以其形象重塑万物。因此，造神者雕刻的神像能将其受众召唤成真。\\n\\n随着拉克塔德维河向东流经印地，许多支流汇入其中，稀释了其增强信仰的力量。在希马拉尼亚山脚，拉克塔德维河的物质最为纯净，饮用源头之水的人会发现信仰与现实的界限极其薄弱。这种巨大的力量在历史上多次撕裂印地，因此，前往希马拉尼亚的通道由一群受拉克塔德维赋能的武僧守护。	false
resources_onscreen_text_cr_major_secondary_somnagiri	[[col:yellow]]索姆纳吉里[[/col]]	false
resources_description_cr_major_secondary_somnagiri	索姆纳吉里是神圣萨姆拉吉亚姆的宏伟都城，这座庞大的大都市占据了拉克塔德维河口的大部分。在这座贫民窟与豪宅并存的城市里，可以见到各色人等，它是库雷什海湾的贸易枢纽。来自震旦和阿拉比的商人、傲慢的精灵外交官，甚至库雷什和混沌矮人的阴险使节，都在宏伟的寺庙和科学院中与印地精英交往，而印地的下层种姓则在泥泞不堪的贫民窟中挣扎求生。\\n\\n正式层面上，大神萨马塔在他位于拉克塔德维河畔的金顶神庙中，与管理各领域的众小神议会共同统治着这座城市和整个神圣萨姆拉吉亚姆。实际上，萨马塔很少关注领地的日常事务，他更关心自己的盛大狂欢和慈善使命。\\n\\n神圣萨姆拉吉亚姆真正的幕后权力掌控者是造神者，这些枯槁的巫师祭司深谙拉克塔德维河赋予印地人民的信仰力量。造神者维持着谦卑与苦行的形象，声称仅仅是雕刻神像，掩盖了他们作为印地信徒引导者以及西方傲慢野兽人操纵者的真实身份。	false
resources_onscreen_text_cr_major_secondary_eye_of_the_tiger	[[col:yellow]]虎之眼[[/col]]\\n[[col:ui_font_inactive_grey_light]]该地区产出宝石[[/col]]	false
