key	text	tooltip
#Loc;1;text/sr_lost_world.loc		
building_effect_context_expressions_display_text_NotChaos_Dwarfs		false
building_effect_context_expressions_display_text_IsEmpire		false
building_effect_context_expressions_display_text_IsGreenskin		false
building_effect_context_expressions_display_text_IsVCounts		false
building_effect_context_expressions_display_text_NotVCounts		false
building_effect_context_expressions_display_text_IsBeastmen		false
building_effect_context_expressions_display_text_IsNorsca		false
building_effect_context_expressions_display_text_IsWoC		false
building_effect_context_expressions_display_text_IsNurgle		false
building_effect_context_expressions_display_text_IsSlaanesh		false
building_effect_context_expressions_display_text_IsTzeentch		false
building_effect_context_expressions_display_text_IsDaemonPrince		false
building_chains_encyclopedia_description_tow_monolith_of_flesh	占位符	false
building_chains_encyclopedia_name_tow_monolith_of_flesh	占位符	false
building_chains_encyclopedia_description_tow_blood_fane	占位符	false
building_chains_encyclopedia_name_tow_blood_fane	占位符	false
building_chains_encyclopedia_description_tow_fozzriks_vault	占位符	false
building_chains_encyclopedia_name_tow_fozzriks_vault	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_1	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_2	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_3	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_4	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_5	占位符	false
building_culture_variants_name_ovn_hlf_settlement_major_ruin	占位符	false
building_culture_variants_name_ovn_hlf_settlement_minor_1	占位符	false
building_culture_variants_name_ovn_hlf_settlement_minor_2	占位符	false
building_culture_variants_name_ovn_hlf_settlement_minor_3	占位符	false
building_culture_variants_name_ovn_hlf_settlement_minor_ruin	占位符	false
building_culture_variants_name_sr_wef_cathay_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_wef_cathay_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_wef_cathay_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_wef_cathay_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_golden_ziggurat_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_golden_ziggurat_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_golden_ziggurat_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_golden_ziggurat_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_antoch_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_antoch_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_antoch_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_antoch_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_sentinel_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_sentinel_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_sentinel_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_4	占位符	false
building_culture_variants_name_sr_pigbarter_settlement_dummy_5	占位符	false
building_culture_variants_name_sr_solace_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_solace_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_solace_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_solace_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_skrap_towers_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_skrap_towers_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_skrap_towers_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_skrap_towers_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_hexgate_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_hexgate_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_hexgate_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_hexgate_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_valleyofkings_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_valleyofkings_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_valleyofkings_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_valleyofkings_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_4	占位符	false
building_culture_variants_name_sr_grn_major_non_karak_settlement_dummy_5	占位符	false
building_culture_variants_name_sr_dervingard_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_dervingard_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_dervingard_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_dervingard_minor_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_caslte_alexandronov_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_caslte_alexandronov_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_caslte_alexandronov_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_caslte_alexandronov_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_4	占位符	false
building_culture_variants_name_sr_herdstone_alt_settlement_dummy_5	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_4	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_bloodyhand_settlement_dummy_5	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_flesh_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_flesh_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_flesh_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_norsca_monolith_of_flesh_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_blighted_towers_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_blighted_towers_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_blighted_towers_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_blighted_towers_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_3	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_4	占位符	false
building_culture_variants_name_sr_mordheim_settlement_dummy_5	占位符	false
building_culture_variants_name_sr_anurelltomb_minor_settlement_dummy_0	占位符	false
building_culture_variants_name_sr_anurelltomb_minor_settlement_dummy_1	占位符	false
building_culture_variants_name_sr_anurelltomb_minor_settlement_dummy_2	占位符	false
building_culture_variants_name_sr_anurelltomb_minor_settlement_dummy_3	占位符	false
